awrd,typ,
Jimmy Condon Arena,1,
Canada Olympic Park,1,
Coach Volunteer,2,
GroupSTAR,3,
JuniorSTAR,3,
Junior Prep Mon & Wed,3,
Junior Prep Tue & Thu,3,
High Performance Mon & Wed,3,
High Performance Tue & Thu,3,
STAR 1&2,4,
STAR 3&4,4,
STAR 5&6,4,
STAR 7 to Gold,4,
Pre Juvenile & Juvenile,5,
Pre Novice & Novice,5,
Junior & Senior,5,
Dance Team,5,
Skater of the Year,6,
International Skater of the Year,6,
Pair Team of the Year,6,
Dance Team of the Year,6,
Program Assistant,7,
Calalta Sportsmanship Award,7,
Calalta STARSkater Award of Excellence,7,
Sharon LaRiviere Award,7,
Marissa Staddon Award,7,
Pat Fischer Award,7,
