a,d,
FiDsB,Forward inside Level B,
FiDs1,Forward inside Level 1,
FiDs2,Forward inside Level 2,
FiDs3,Forward inside Level 3,
FiDs4,Forward inside Level 4,
FoDsB,Forward outside Level B,
FoDs1,Forward outside Level 1,
FoDs2,Forward outside Level 2,
FoDs3,Forward outside Level 3,
FoDs4,Forward outside Level 4,
BiDsB,Backward Inside Level B,
BiDs1,Backward Inside Level 1,
BiDs2,Backward Inside Level 2,
BiDs3,Backward Inside Level 3,
BiDs4,Backward Inside Level 4,
BoDsB,Backward outside Level B,
BoDs1,Backward outside Level 1,
BoDs2,Backward outside Level 2,
BoDs3,Backward outside Level 3,
BoDs4,Backward outside Level 4,
SpFiB,Spiral Figure any edge Level B,
