a,d,
PSpB,Pair Spin Level B,
PSp1,Pair Spin Level 1,
PSp2,Pair Spin Level 2,
PSp3,Pair Spin Level 3,
PSp4,Pair Spin Level 4,
PCoSpB,Pair Combination Spin Level B,
PCoSp1,Pair Combination Spin Level 1,
PCoSp2,Pair Combination Spin Level 2,
PCoSp3,Pair Combination Spin Level 3,
PCoSp4,Pair Combination Spin Level 4,
PCoSpB V,Pair Combination Spin Level B Spin Req. Not Met,
PCoSp1 V,Pair Combination Spin Level 1 Spin Req. Not Met,
PCoSp2 V,Pair Combination Spin Level 2 Spin Req. Not Met,
PCoSp3 V,Pair Combination Spin Level 3 Spin Req. Not Met,
PCoSp4 V,Pair Combination Spin Level 4 Spin Req. Not Met,
