a,d,
USpB,Upright Spin Level B,
USp1,Upright Spin Level 1,
USp2,Upright Spin Level 2,
USp3,Upright Spin Level 3,
USp4,Upright Spin Level 4,
SSpB,Sit Spin Level B,
SSp1,Sit Spin Level 1,
SSp2,Sit Spin Level 2,
SSp3,Sit Spin Level 3,
SSp4,Sit Spin Level 4,
CSpB,Camel Spin Level B,
CSp1,Camel Spin Level 1,
CSp2,Camel Spin Level 2,
CSp3,Camel Spin Level 3,
CSp4,Camel Spin Level 4,
LSpB,Layback Spin Level B,
LSp1,Layback Spin Level 1,
LSp2,Layback Spin Level 2,
LSp3,Layback Spin Level 3,
LSp4,Layback Spin Level 4,
FUSpB,Flying Upright Spin Level B,
FUSp1,Flying Upright Spin Level 1,
FUSp2,Flying Upright Spin Level 2,
FUSp3,Flying Upright Spin Level 3,
FUSp4,Flying Upright Spin Level 4,
FSSpB,Flying Sit Spin Level B,
FSSp1,Flying Sit Spin Level 1,
FSSp2,Flying Sit Spin Level 2,
FSSp3,Flying Sit Spin Level 3,
FSSp4,Flying Sit Spin Level 4,
FCSpB,Flying Camel Spin Level B,
FCSp1,Flying Camel Spin Level 1,
FCSp2,Flying Camel Spin Level 2,
FCSp3,Flying Camel Spin Level 3,
FCSp4,Flying Camel Spin Level 4,
FLSpB,Flying Layback Spin Level B,
FLSp1,Flying Layback Spin Level 1,
FLSp2,Flying Layback Spin Level 2,
FLSp3,Flying Layback Spin Level 3,
FLSp4,Flying Layback Spin Level 4,
FUSpB V,Flying Upright Spin Level B Spin Req. Not Met,
FUSp1 V,Flying Upright Spin Level 1 Spin Req. Not Met,
FUSp2 V,Flying Upright Spin Level 2 Spin Req. Not Met,
FUSp3 V,Flying Upright Spin Level 3 Spin Req. Not Met,
FUSp4 V,Flying Upright Spin Level 4 Spin Req. Not Met,
FSSpB V,Flying Sit Spin Level B Spin Req. Not Met,
FSSp1 V,Flying Sit Spin Level 1 Spin Req. Not Met,
FSSp2 V,Flying Sit Spin Level 2 Spin Req. Not Met,
FSSp3 V,Flying Sit Spin Level 3 Spin Req. Not Met,
FSSp4 V,Flying Sit Spin Level 4 Spin Req. Not Met,
FCSpB V,Flying Camel Spin Level B Spin Req. Not Met,
FCSp1 V,Flying Camel Spin Level 1 Spin Req. Not Met,
FCSp2 V,Flying Camel Spin Level 2 Spin Req. Not Met,
FCSp3 V,Flying Camel Spin Level 3 Spin Req. Not Met,
FCSp4 V,Flying Camel Spin Level 4 Spin Req. Not Met,
FLSpB V,Flying Layback Spin Level B Spin Req. Not Met,
FLSp1 V,Flying Layback Spin Level 1 Spin Req. Not Met,
FLSp2 V,Flying Layback Spin Level 2 Spin Req. Not Met,
FLSp3 V,Flying Layback Spin Level 3 Spin Req. Not Met,
FLSp4 V,Flying Layback Spin Level 4 Spin Req. Not Met,
CUSpB,Change Foot Upright Spin Level B,
CUSp1,Change Foot Upright Spin Level 1,
CUSp2,Change Foot Upright Spin Level 2,
CUSp3,Change Foot Upright Spin Level 3,
CUSp4,Change Foot Upright Spin Level 4,
CSSpB,Change Foot Sit Spin Level B,
CSSp1,Change Foot Sit Spin Level 1,
CSSp2,Change Foot Sit Spin Level 2,
CSSp3,Change Foot Sit Spin Level 3,
CSSp4,Change Foot Sit Spin Level 4,
CCSpB,Change Camel Spin Level B,
CCSp1,Change Camel Spin Level 1,
CCSp2,Change Camel Spin Level 2,
CCSp3,Change Camel Spin Level 3,
CCSp4,Change Camel Spin Level 4,
CLSpB,Change Layback Spin Level B,
CLSp1,Change Layback Spin Level 1,
CLSp2,Change Layback Spin Level 2,
CLSp3,Change Layback Spin Level 3,
CLSp4,Change Layback Spin Level 4,
FCUSpB,Fly Change Foot Upright Spin Level B,
FCUSp1,Fly Change Foot Upright Spin Level 1,
FCUSp2,Fly Change Foot Upright Spin Level 2,
FCUSp3,Fly Change Foot Upright Spin Level 3,
FCUSp4,Fly Change Foot Upright Spin Level 4,
FCSSpB,Fly Change Foot Sit Spin Level B,
FCSSp1,Fly Change Foot Sit Spin Level 1,
FCSSp2,Fly Change Foot Sit Spin Level 2,
FCSSp3,Fly Change Foot Sit Spin Level 3,
FCSSp4,Fly Change Foot Sit Spin Level 4,
FCCSpB,Fly Change Foot Camel Spin Level B,
FCCSp1,Fly Change Foot Camel Spin Level 1,
FCCSp2,Fly Change Foot Camel Spin Level 2,
FCCSp3,Fly Change Foot Camel Spin Level 3,
FCCSp4,Fly Change Foot Camel Spin Level 4,
FCLSpB,Fly Change Foot Layback Spin Level B,
FCLSp1,Fly Change Foot Layback Spin Level 1,
FCLSp2,Fly Change Foot Layback Spin Level 2,
