id,nm,created_at,updated_at
1,N/A,2017-08-15 16:53:04,2017-08-15 16:53:04,
2,Alberta Winter Games,2017-08-15 16:53:04,2017-08-15 16:53:04,
3,Calgary STARSkate Invitational,2017-08-15 16:53:04,2017-08-15 16:53:04,
4,Calgary Winter Invitational,2017-08-15 16:53:04,2017-08-15 16:53:04,
5,Canada Winter Games,2017-08-15 16:53:04,2017-08-15 16:53:04,
6,Canmore Fall Invitational,2017-08-15 16:53:04,2017-08-15 16:53:04,
7,Central STARSkate Invitational,2017-08-15 16:53:04,2017-08-15 16:53:04,
8,Chinook Open,2017-08-15 16:53:04,2017-08-15 16:53:04,
9,Edmonton STARSkate Invitational,2017-08-15 16:53:04,2017-08-15 16:53:04,
10,International Adult Figure Skating Competition,2017-08-15 16:53:04,2017-08-15 16:53:04,
11,Minto Summer Skate Invitational,2017-08-15 16:53:04,2017-08-15 16:53:04,
12,NW/NE STARSkate Invitational,2017-08-15 16:53:04,2017-08-15 16:53:04,
13,National Skating Championships,2017-08-15 16:53:04,2017-08-15 16:53:04,
14,North STARSkate Invitational,2017-08-15 16:53:04,2017-08-15 16:53:04,
15,Octoberfest,2017-08-15 16:53:04,2017-08-15 16:53:04,
16,Peace STARSkate Invitational,2017-08-15 16:53:04,2017-08-15 16:53:04,
17,STARSkate & Adult Championships,2017-08-15 16:53:04,2017-08-15 16:53:04,
18,Sask Skate,2017-08-15 16:53:04,2017-08-15 16:53:04,
19,Skate Canada Challenge,2017-08-15 16:53:04,2017-08-15 16:53:04,
20,Skate Canada: Alberta-NWT/Nunavut Sectionals,2017-08-15 16:53:04,2017-08-15 16:53:04,
21,Skate Ontario Summer Skate,2017-08-15 16:53:04,2017-08-15 16:53:04,
22,South Region Open,2017-08-15 16:53:04,2017-08-15 16:53:04,
23,Summer Sizzle,2017-08-15 16:53:04,2017-08-15 16:53:04,
24,Sunsational,2017-08-15 16:53:04,2017-08-15 16:53:04,
25,BC Super Series SummerSkate,2017-08-15 16:53:04,2017-08-15 20:04:32,
26,Wild Rose Invitational,2017-08-15 16:53:04,2017-08-15 16:53:04,
28,Cup Of China,2017-08-15 20:02:42,2017-08-15 20:02:42,
29,Four Continents Championships,2017-08-15 20:02:54,2017-08-15 20:02:54,
30,ISU World Championships,2017-08-15 20:03:02,2017-08-15 20:03:51,
31,Olympic Winter Games,2017-08-15 20:03:11,2017-08-15 20:03:11,
32,ISU World Junior Championships,2017-08-15 20:03:25,2017-08-15 20:03:25,
33,ISU Jr Grand Prix Copernicus Stars,2017-08-15 20:04:02,2017-08-15 20:04:02,
34,Skate Detroit,2017-08-16 00:08:46,2017-08-16 00:08:46,
35,Quebec Summer Championships,2017-08-16 15:11:07,2017-08-16 15:13:21,
