id,evt,seg,scr_typ,comp,scr,s1,s2,s3,s4,tn,ach,yr,created_at,updated_at,
1,1,1,1,26,115.51,138,,,,,2017-08-04,2017,2017-08-15 16:53:15,2017-08-16 00:03:07,
2,1,3,1,20,44.48,138,,,,,2016-11-03,2016,2017-08-15 16:53:15,2017-08-15 23:54:14,
3,1,3,2,26,22.2,138,,,,,2017-08-04,2017,2017-08-15 16:53:15,2017-08-16 00:01:01,
4,1,3,3,20,24.34,138,,,,,2016-11-03,2016,2017-08-15 16:53:15,2017-08-15 23:55:03,
5,1,7,1,26,71.17,138,,,,,2017-08-04,2017,2017-08-15 16:53:15,2017-08-16 00:01:55,
6,1,7,2,26,46.93,138,,,,,2017-08-04,2017,2017-08-15 16:53:15,2017-08-16 00:02:18,
7,1,7,3,20,32.83,138,,,,,2016-11-03,2016,2017-08-15 16:53:15,2017-08-16 00:00:00,
8,2,1,1,29,212.81,365,,,,,2009-02-02,2009,2017-08-15 16:53:15,2017-08-16 01:46:54,
9,2,3,1,28,72.7,365,,,,,2008-11-05,2008,2017-08-15 16:53:15,2017-08-16 01:49:18,
12,2,7,1,29,144.81,365,,,,,2006-08-15,2006,2017-08-15 16:53:15,2017-08-16 22:08:42,
23,4,3,1,34,53.04,368,369,,,,2018-07-18,2018,2017-08-15 16:53:16,2017-08-16 00:14:45,
24,4,3,2,34,23.36,368,369,,,,2017-07-15,2017,2017-08-15 16:53:16,2017-08-16 00:11:27,
25,4,3,3,34,29.68,368,369,,,,2017-07-15,2017,2017-08-15 16:53:16,2017-08-16 00:11:55,
26,4,7,1,34,91.09,368,369,,,,2017-07-15,2017,2017-08-15 16:53:16,2017-08-16 00:13:09,
27,4,7,2,34,45.2,368,369,,,,2017-07-15,2017,2017-08-15 16:53:16,2017-08-16 00:13:34,
28,4,7,3,34,46.89,368,369,,,,2017-07-15,2017,2017-08-15 16:53:16,2017-08-16 00:14:21,
29,5,1,1,32,121.35,364,,,,,2005-02-28,2005,2017-08-15 16:53:16,2017-08-15 20:06:59,
30,5,3,1,32,45.93,364,,,,,2005-02-28,2005,2017-08-15 16:53:16,2017-08-15 20:09:16,
31,5,3,2,32,21.43,364,,,,,2005-02-28,2005,2017-08-15 16:53:16,2017-08-16 01:53:54,
32,5,3,3,32,24.5,364,,,,,2005-02-28,2005,2017-08-15 16:53:16,2017-08-16 01:54:20,
33,5,7,1,32,79.42,364,,,,,2005-02-28,2005,2017-08-15 16:53:16,2017-08-15 20:09:49,
34,5,7,2,32,43.01,364,,,,,2005-02-28,2005,2017-08-15 16:53:16,2017-08-16 01:54:57,
35,5,7,3,32,37.5,364,,,,,2005-02-28,2005,2017-08-15 16:53:16,2017-08-16 01:52:15,
202,45,7,1,8,18.19,338,,,,,2017-03-31,2017,2017-08-15 16:53:20,2017-08-15 16:53:20,
203,45,7,2,17,7.66,121,,,,,2017-03-25,2017,2017-08-15 16:53:20,2017-08-15 16:53:20,
204,45,7,2,8,7.66,338,,,,,2017-03-31,2017,2017-08-15 16:53:20,2017-08-15 16:53:20,
205,45,7,3,8,10.01,338,,,,,2017-03-31,2017,2017-08-15 16:53:20,2017-08-15 16:53:20,
242,58,7,1,17,14.27,216,,,,,2017-03-24,2017,2017-08-15 16:53:21,2017-08-16 01:59:31,
243,58,7,2,17,8.41,216,,,,,2017-03-24,2017,2017-08-15 16:53:21,2017-08-16 02:00:17,
244,58,7,3,17,5.8,216,,,,,2017-03-24,2017,2017-08-15 16:53:21,2017-08-16 02:00:40,
